Partida,Vitorias A,Vitorias B,Sets de A,Sets de B,Games de A,Games de B,Vitorias A (%),Vitorias B (%),Sets de A (%),Sets de B (%),Games de A (%),Games de B (%),Media de Sets,Desv padrao de Sets,Media de Games/Set,Desvio padrao de Games,Media de Pontos/Game,Desvio padrao de pontos
9,10,0,20,0,120,14,100.0,0.0,100.0,0.0,89.55223880597015,10.44776119402985,2,0.0,6.7,0.8645047258706176,8.5,2.7713626842799823
9,7,3,16,9,128,111,70.0,30.0,64.0,36.0,53.55648535564853,46.44351464435147,2.5,0.5270462766947299,9.56,1.8947295321496416,10.887029288702928,4.497408119490181
