Partida,Vitorias A,Vitorias B,Sets de A,Sets de B,Games de A,Games de B,Vitorias A (%),Vitorias B (%),Sets de A (%),Sets de B (%),Games de A (%),Games de B (%),Media de Sets,Desv padrao de Sets,Media de Games/Set,Desvio padrao de Games,Media de Pontos/Game,Desvio padrao de pontos
1,3,0,6,0,36,5,100.0,0.0,100.0,0.0,87.8048780487805,12.195121951219512,2,0.0,6.833333333333333,1.1690451944500122,8.609756097560975,3.081217687704715
2,1,2,4,5,36,45,33.33333333333333,66.66666666666666,44.44444444444444,55.55555555555556,44.44444444444444,55.55555555555556,3,0.0,9,2.179449471770337,10.938271604938272,4.528646815033012
